Geneid	D-1
ADAM8	72
CBWD3	19
MYOF	54
IFT22	134
RBM14-RBM4	0
CCAR2	2682
KCTD18	163
BAG1	2138
MIR3163	0
MAN2C1	1232
CDY2B	0
MIR6860	0
NMT1	2521
SLC35B2	1169
ZNF565	17
CASP1	501
RASGRP4	132
ARMH3	465
LOC100130987	39
MIR561	0
MIR603	0
MIR570	10
MIR608	0
MIR605	0
ZSWIM1	135
CFAP97D1	11
TMEM52B	17
LINC01297-DUXAP10-NBEAP6	2
TNFRSF25	2
B3GALT2	0
KDELR1	2666
PRODH	0
PGPEP1	869
LOC100133315	58
FN3KRP	660
UIMC1	595
MIR6752	0
GPRC5B	1
DOC2GP	17
SERPINB3	0
ZNF684	118
F7	0
FAM86C2P	141
DTL	831
NRN1L	7
MIR7113	3
MIR4691	3
MC4R	1
MIR6753	0
KCNJ13	0
ANK3	13
CDC42EP1	0
TSGA10IP	0
ACSL4	2431
NT5DC1	1136
TNFRSF11A	1
INTS3	555
TMEM229B	426
ANKRD9	287
CA6	0
ATP2B2	2
ELAVL3	1
PROM2	0
GLIS2	126
LSAMP	13
NADK2	817
PITX2	0
TBRG4	2881
EARS2	545
CRISP2	0
PCYOX1L	609
SYNGR3	34
UHMK1	743
PPIC	0
PPIB	4658
SLC2A4	25
YIPF5	568
STK32A	6
CLK2	602
NKG7	228
ZNF214	0
VCP	5541
FEV	0
MPHOSPH8	1158
NDUFAF1	721
MAP3K11	1464
CD4	2801
MB	1
MAGEA12	2
MAGEA11	0
GRN	2643
PCK2	2823
FBXL4	318
CD274	27
CYLC2	0
FGFR4	14
MRGPRF-AS1	0
MTHFD2	4853
POP4	869
RNF167	861
MIR3164	0
LOC338694	1
APOA2	0
LINC01488	0
BNIP1	275
LINC02584	0
DNAJB11	2848
THNSL1	44
DCTPP1	2495
INO80	631
HRAS	822
CMTM2	29
BTBD16	0
ISOC2	2283
CCN6	10
SOCS2	263
TMEM11	509
SHANK2-AS1	0
SHANK2-AS3	0
FLJ42102	0
C11orf80	216
MGAT2	1047
PARP2	574
SPIC	0
FAM86C1	109
ALG1L9P	27
C2orf78	0
KDM4B	987
AP1S2	459
HTN1	0
REPIN1	3420
PRDM13	23
ARL13A	3
ZNF229	0
MPC1L	0
LRCOL1	0
LOC100128494	2
MIR3165	0
DTYMK	1655
EDN1	1
CDKAL1	178
C3orf70	16
ANAPC15	405
ZNF30	0
OR10AC1	0
TATDN3	281
EIF5B	7884
ZFP42	0
PRKACA	1154
PIBF1	254
PCBP3	52
FES	1292
PART1	1
IRF9	51
SKP2	1636
NGB	0
ARAP1-AS2	0
TOX2	2
MIR4692	0
NUP153	777
CMSS1	1729
ACBD6	700
CCDC77	325
CEP68	248
ZFAND1	211
LOC100287837	0
KCND2	0
FTSJ1	1486
ATP1B3	2280
TMEM97	1204
SWI5	92
TMEM200B	0
UBE2D1	385
NLGN1	2
ATP5PB	5794
CMIP	1381
CARD14	0
VHL	2736
GDF1	0
ADGRB3	5
PPFIA1	592
P4HA3-AS1	0
MIR548AL	1
MORN2	29
EIF4E2	1340
HMGB3	1892
TPM2	62
ZNF22	429
ZNF19	0
STK25	1206
HLA-DOB	0
FILIP1L	10
MIR4696	0
ODC1	8911
HOXA1	195
HS3ST5	0
CMYA5	6
TUBGCP4	371
PIGH	376
CDK11A	190
MAP4K4	2801
FCSK	200
SNORD15A	6
SNORD15B	16
MMP27	1
GDPD5	314
LOC105369391	0
LOC283214	0
VAMP7	0
KAT6B	471
UVRAG-DT	0
COMMD5	680
FOXD4L5	0
OR4A15	0
CHD3	2023
NREP	2055
PPP2R3A	4
ZSWIM9	562
HOMER2	14
LUC7L	937
GUCY2EP	0
OAT	2751
LOC101928837	9
UTP4	1057
NUDT14	127
SLC6A5	0
WWC3	457
DENND2A	1
GTDC1	124
KRT1	0
MTARC1	1
LOC646029	1
AAMDC	309
ENTPD2	0
KCTD14	0
RSPH4A	10
KCTD21-AS1	37
OR2F2	0
XKR6	0
NOP56	6080
ERV3-1	66
LOC101928896	0
TTLL3	41
ZNF397	264
MIR5579	0
MIR4300HG	0
MIR4300	0
STK19	0
STARD6	11
RAET1E	19
MIEF2	170
PSME1	2659
FABP2	0
F8	76
RARS1	1295
SNORA70E	0
LCA5L	0
OR5B2	0
TCEAL9	0
TRPM7	1204
LOC100506282	28
PCF11-AS1	0
C2CD2	192
SCARB2	605
CCDC90B	461
TUT1	648
STX16	744
SLC7A8	62
MZF1	313
EIF4G2	8367
EOGT	246
CCDC141	3
NTSR1	14
TTYH3	1443
BTG4	0
CD8B	0
NAT8L	623
TRIML1	0
ZNF546	75
RSPO2	1
TSPAN33	1054
ABCB5	0
KRCC1	619
PSIP1	3078
BCL11A	651
AQP9	0
C16orf97	0
ADARB2	2
TATDN2	1066
WT1	171
SNX19	581
SERTAD2	562
NCAM1	526
MIR6755	1
CMTM7	758
SALL3	0
ZBTB45	380
ZNF664-RFLNA	4
CDKL3	58
CCDC81	15
C17orf107	2
ME3	423
FAM135B	0
NCR2	12
OR7E2P	0
EPHA5	2
AKIP1	477
ANXA9	26
NPLOC4	1434
MIR3166	0
GRM5-AS1	0
IZUMO2	0
ZNF410	509
PRH1	2
PLD3	2737
ITM2B	3270
ZNF711	0
ZNF621	132
TRIM77	0
TTYH2	81
TRIM53AP	0
TRIM51EP	0
SPATA31C2	0
RINL	135
SERPINI1	60
C2orf92	12
MMS19	1405
DISC1FP1	1
PDLIM7	799
MIR1261	0
CIRBP	7158
LINC02878	9
SSH1	294
TMEM47	0
SCARNA9	58
TAF1D	1351
SNORA25	5
SNORA32	23
SNORD6	4
SNORA1	9
SNORA8	38
SNORD5	6
SNORA18	2
MIR1304	7
SNORA40	72
IKZF1	1806
PGAM4	132
FAM24A	0
KAT2A	1295
POLR2C	1014
TEN1	0
CARMIL1	84
ACSM5	0
PDPK1	398
SRGAP2B	0
GPLD1	6
GABARAPL1	72
MIR548L	0
LOC105369438	1
ERGIC3	2180
TBC1D3F	0
SLC10A2	0
VDAC3	2355
SRSF8	241
LOC101929295	0
OSER1	305
ABI1	1066
SPARC	172
LOC100129203	16
GSKIP	207
MFAP3	219
TVP23C	1
OAZ3	12
TMTC2	69
SSBP2	627
SCRT2	14
PPP2R3B	0
MIR1260B	0
CCDC82	382
MYO1D	6
JRKL-AS1	0
LINC01551	0
KPNA1	1083
TSNARE1	487
SCEL	0
LOC100128386	0
IL18RAP	1179
TBK1	418
SNORD13I	0
AGBL1	0
CRYAB	1
GPC2	358
PGR-AS1	0
DOK3	323
MIR3920	0
LAMTOR2	883
STRADB	208
GLTP	759
TSEN15	682
TP53	109
CHRNG	10
SIGLEC7	193
CRYBA1	4
MLH3	21
CYFIP2	661
LOC101928424	4
LOC102723838	0
PCSK6	4
RORC	1
TBL1XR1	1292
WTAPP1	0
LINC02871	0
ATF7	211
MGMT	159
MGAT3	0
ITGAX	45
BRAF	377
IVD	729
MITF	90
MIR4693	0
CLIC2	29
LINC02552	0
CASP17P	16
NBPF10	12
NAA60	667
H2AB2	0
MAPK3	163
MIR1284	1
TULP1	2
TBP	543
CDHR1	0
ZC3H7A	435
CASP1P2	0
U2AF1	0
ESR1	16
ANGPTL6	9
MYCL	57
PRXL2B	532
AMD1	1639
ZDHHC7	1106
LOC101928535	0
TNFRSF10B	376
ASCC3	1041
PHACTR3	60
PPARA	269
LAMB2	1
ZNHIT3	681
MIR629	0
FABP12	0
ZNF807P	0
C11orf65	5
GATB	326
KPNA6	1413
RPS20	30344
ZNF454	1
PTPRC	1946
SEMA4B	557
NMBR	1
BCHE	5
AVPR2	8
ATP7B	63
ACP5	3
HADHA	5012
ARHGAP20	0
TRMT1	1171
LINC02550	6
LMAN2L	261
COLCA1	0
COLCA2	0
MIR4491	0
LOC100132078	0
NRN1	4
DNM1	44
LOC728196	0
PON2	179
C11orf88	0
ZADH2	1184
C16orf54	165
SNX7	1
FAM181B	0
FBXO34	490
UBTD2	313
CSTF2	766
ENC1	176
INIP	543
ZNF431	282
PIP5KL1	37
HMX1	0
THBS4	9
LRGUK	1
PCDHGA4	0
C11orf1	185
HSPB2-C11orf52	0
C1R	36
TF	19
LARP4	704
ZNF668	259
LOC100132686	0
LINC02764	1
LOC101928847	0
SSNA1	1805
CALM2	8215
CRYL1	326
TBR1	1
NCAM1-AS1	0
SSX3	0
DOCK7	3
ABR	969
C19orf81	238
ASIC1	115
CCDC71L	579
IFI27L1	396
OIT3	0
TRIM16L	57
PGM1	2453
IRS2	574
COL10A1	0
GTF2F2	985
MTR	577
CCNG1	2381
GUCY1B1	0
CDH18	35
WASF3	0
RNASEH1	1244
SYPL1	2178
DDX53	0
PSG8	0
EFNA4	100
PKMYT1	1482
LIMS3	0
NME6	420
UBE2F	290
ACTR3B	310
ECPAS	733
HTR3A	1
AATK	6
KREMEN2	154
ADORA2A	0
EDN3	1
CCDC151	7
LOC101928940	0
PRDM9	12
RNPEP	2335
JOSD1	864
DMAC2L	134
IFNA7	0
PCDHB16	8
PRX	154
LOC105369509	0
LOC105369507	0
LINC00900	0
LINC02720	0
LINC02728	11
LINC02763	4
LINC02696	0
LINC02759	0
LINC02753	0
MRPS14	579
MIR3928	0
MBD4	655
ALAS2	3
MEG3	1
ZNF429	0
LOC100652768	8
FPGS	1775
PKD2L2	2
YTHDC2	431
APOBEC3B	967
RNF214	166
BACE1-AS	21
RBMY1F	0
MECR	680
ADGRD1	6
PGLYRP4	1
RGS7BP	0
APCDD1L	1
PISD	583
RGL4	77
LPCAT4	945
TEX48	1
ZGLP1	145
WARS1	1554
CSDE1	7349
NAPA	1778
RAD51D	343
PIK3C2A	313
PPDPFL	3
RAB34	4
SEC13	3115
GRIK5	25
LOC100131626	0
AFAP1L1	0
CEMIP	29
LOC101929089	0
GAGE12J	0
TTC36	0
TMEM25	0
IFT46	174
RPA1	2037
CTRB2	0
MIR6716	0
MAPRE2	1188
RPS6KA6	0
KCNH1	0
GALM	193
BIRC7	290
ADAMTS19	0
ABRAXAS2	362
MIR4492	0
CUL3	1110
TMEM125	0
GK5	245
FUZ	0
OGFOD3	902
PCDHB8	2
PCDHA2	0
RPL23AP64	6
GADD45A	385
OR3A2	0
OR1D2	0
TNFRSF11B	4
MUC3A	7
OR6P1	0
FHOD3	22
KIAA1522	153
RPL7A	13818
PLA2G5	1
NUP107	1794
ZNF200	128
ALPK1	142
MUC4	0
MRGPRX2	0
SAMD4B	587
PGF	16
MLEC	3618
ADPRH	2
ADM	0
SEC11A	3200
INMT	0
MAG	0
ZC3H6	235
SMIM19	490
SNORD150	0
MIR6756	0
SYNDIG1	0
CNBD1	0
NFAT5	186
FIG4	149
TECPR2	113
USP2-AS1	21
DISP1	33
LOC102724301	3
HEY2	1
HEY1	1
ZNF212	304
LOC107984399	0
LOC649133	0
RDH8	0
CALY	1
SPRR4	0
HLA-DQB2	0
FGFRL1	453
RANBP3	1466
ZNF550	195
ZIK1	6
LOC105369532	0
LOC101929227	0
LOC101929208	0
RPP40	270
IFIT1B	0
C4BPB	1
C20orf194	88
SFT2D1	1613
PANTR1	5
HOTTIP	113
SLC28A3	23
UBOX5	248
GAS7	909
TRPC4AP	827
JHY	22
LOC341056	5
SNORD14E	8
SNORD14D	9
SNORD14C	23
HOXB5	0
HOXB3	3
ADA	748
MIR4493	0
MON1A	276
HHIPL1	4
WDR87	0
VWA5A	16
C10orf71	0
OR8G1	0
PHEX	12
GOLGA6L7	0
TMEM131L	300
RHBDD3	511
TMEM184B	557
LOC101929340	12
RPL10L	0
SRSF12	0
NUP155	1138
LOC100507283	1
CKB	271
CBX8	527
TWSG1	828
LSM7	5637
VPS28	1967
SLC7A6OS	150
PHAX	655
ZAR1	0
DTNBP1	343
DENND2C	0
UGP2	1711
WDR88	20
ACOXL	4
SNCB	0
PKNOX2-AS1	0
NDUFB3	1561
MRVI1-AS1	6
STT3A-AS1	0
KCTD15	293
RNF114	1111
PTP4A2	4306
ICE2	1081
METAP1D	170
CLNS1A	2409
ABCA3	784
APRT	2764
AMH	386
ALPL	0
ALB	0
STIM2	416
LIFR	0
ANGPT4	16
GSEC	184
CNOT2-DT	117
FOPNL	671
LOC101929427	101
KIRREL3-AS2	1
MIR3167	0
KIRREL3-AS3	0
LOC101929473	0
LINC02098	0
MIR6090	0
LOC101929538	2
CASC19	0
SLC47A2	0
ZNF304	81
CHST2	651
MED21	409
TMPRSS11D	0
C11orf45	113
ATP13A2	2569
MNX1	2
KNSTRN	1051
LOC399975	111
LINC01395	0
TBC1D7	7
TMEM186	207
MXRA5	0
SNAI2	0
S100A10	578
S100A9	15
SLPI	5
CNGA2	0
ANXA3	229
SCO2	14
SLC16A13	118
FOXO3	746
FHL2	16
DGKA	153
LRRC10	0
LINC00167	1
ITGAV	127
GTPBP3	1241
FAM187A	0
PSMA4	9564
TENM2	2
GLRA1	0
SETD1B	264
RRH	0
MIR8052	0
LINC02551	2
LOC103611081	110
ACADS	584
PERM1	2
GOLGA3	763
LOC101929653	6
NTM-AS1	0
NTM	0
ZBTB16	7
NTM-IT	0
RAPGEF3	9
USP37	64
MGST1	1121
MIR4697HG	0
MIR4697	0
DPEP1	870
TRIO	269
SNORD153	0
DOCK8	599
RNF32	60
CHRNB1	136
NDST4	0
SFPQ	4093
LOC283177	0
LOC100507548	0
FAM138D	0
WASH8P	274
LOC574538	0
RBMY1D	0
LOC101929384	0
SLC6A13	2
ZNF283	0
LOC102723544	0
TUBB4B	6583
SPRR2A	0
TUBB3	782
SOX1	0
SNAI1	69
LOC105369595	0
TRIM48	0
CHAC1	281
SOGA1	208
ANXA2P3	0
GPR157	139
LINC00942	1
CREG1	602
TMEM140	92
MIR3649	0
ZMYM4	1279
MMP9	8
FGFBP1	0
LINC00940	3
DUSP10	135
NDUFA5	1923
EAPP	335
CACNA1C-IT2	0
RFX4	2
ATP2B3	63
HMGN4	2364
TIMM44	2001
ZNHIT1	1540
UTP14A	514
FBXL18	473
RIMKLB	419
CGGBP1	1410
TTF1	637
TSPAN5	336
ACTR2	11332
ACTR3	4132
TOM1L1	1
PDSS1	578
TMEM132A	2
KLK7	0
KLHL22	272
STAT1	528
TXNDC17	1076
ZNF503	201
PHF5A	1169
HPDL	1
RAX2	1
SFT2D3	0
LMNB2	4168
ZNF622	781
AANAT	4
COX14	483
ACTA2	49
BCL2L2-PABPN1	1
EIF2AK2	697
ZSCAN26	114
HSP90B1	10775
CD1E	0
ZNF221	20
WDR83	551
SPOCK2	5
USP17L3	0
ZNF827	13
PTPRJ	198
HIVEP3	79
TRAPPC12	529
EDDM3B	0
PATL1	1121
CACNA1C-AS4	0
CACNA1C-IT3	1
CACNA1C-AS2	155
CACNA1C-AS1	17
ITFG2-AS1	9
UGT2A3	0
NDC1	2009
PAF1	1502
C6orf15	0
KDM8	83
DNAJA4	325
YOD1	132
SERINC2	81
LOC100128253	0
LINC02417	0
PRMT8	0
THCAT155	0
SPIB	10
CCND2-AS1	4
RRN3P2	40
C12orf4	286
TNNT3	0
SLC16A6	29
CSNK1D	1841
ARHGAP11A-SCG5	0
MIR129-2	0
MIR146A	0
MIR191	1
LINC02443	0
ZFP90	2
C5orf58	2
TTC34	0
RHPN1-AS1	6
MIR708	0
SNORA120	0
MRFAP1	11439
C16orf91	246
SEMA6A	13
NLGN2	450
NCEH1	127
THRIL	0
TMEM161B	379
LOC101927378	0
CD27-AS1	132
EDDM3A	0
FGL2	46
CD300C	177
ATP5MC1	4904
SCARNA10	23
HEXIM2	55
LINC00336	1
DPEP2	16
SGSM3	849
FAM120C	319
CACNA2D1	0
SLC10A7	106
SCARNA11	0
CALB1	0
ZNF7	238
SRRM2	3896
MSRB1	467
SUSD2	6
GAGE4	0
METTL5	896
TDRD15	0
CEACAM5	0
BICD1	250
MIR2861	0
MIR1270	0
RBPMS2	0
MXD1	223
DCUN1D5	1897
LOC105369632	20
RPL13P5	44
DSTNP2	52
EGR2	19
RNU7-1	0
FAM3A	857
TBCC	435
TFAM	1843
MIR200CHG	0
SCARNA12	64
HSCB	228
SOCS5	206
FOXP3	14
BMP8B	299
C1RL-AS1	36
PFKFB4	105
SYCP2L	18
ESYT3	3
TMEM143	285
MFN2	2386
CLUH	3543
GLRX3	1985
MRPS11	694
DOCK5	186
NIBAN1	443
MAP10	150
EPHB6	254
C6orf136	0
CYP27B1	52
NECAP1	211
MMRN2	7
POU5F1P3	2
FAM66C	16
DAGLB	1160
FAM86FP	21
LINC02449	15
LINC00937	5
ZNF846	2
APLNR	3
GRK3	515
KLK2	0
KARS1	4223
INSIG1	7763
SGSH	0
NDUFAF5	210
TMEM69	655
RBPMS	4
A2ML1	2
PGM3	514
ZNF627	260
MDH1	3758
A2M-AS1	2
EML2	843
FANCD2OS	0
SNX17	4067
LTBP3	57
ANGPTL5	0
PAK5	0
AJUBA	145
UBASH3B	2649
A2MP1	1
MIR1244-1	0
MIR1244-2	0
MIR1244-3	0
MIR1244-4	0
LINC00987	102
LOC642846	216
LINC02367	24
LOC101928030	1
LOC728715	89
DDX12P	466
OVOS	9
FAM76A	221
LOC374443	201
SLC7A9	0
ZNF175	180
MYH2	0
IL24	0
PTER	371
LINC02470	917
CLEC12A-AS1	367
ELOVL3	18
S100B	21
RP1	1
RAD21	4883
SLC38A4	0
MED9	219
LOC102724020	0
XAGE5	1
SCML1	120
CYP20A1	345
RANBP3L	0
LINC02617	0
LOC101928100	6
CBS	0
TPT1	32261
HMOX2	1018
HINT3	616
MLIP	1
EIF2S3B	552
LINC02446	1
KLRA1P	37
MPST	2363
CCDC172	1
TMC2	4
TMEM130	8
MTIF3	312
PRH1-PRR4	3
TMEM106B	368
C1QC	0
ENPP2	6
RRNAD1	309
TMEM175	417
LOC440084	0
LINC01252	23
TMEM40	0
MRPS2	764
KRT18	0
BPGM	206
MIR614	0
GPRC5D-AS1	1
HTR7P1	49
XPNPEP2	1
ADAM33	1
LMO3	34
CRTC3	333
PNMA3	1
OR10H5	0
ARHGAP6	0
LINC01559	1
ZNF169	24
MT1F	604
ZPBP2	0
PDGFRA	1
CACNG3	0
CLCA2	0
PLBD1-AS1	0
SEC24D	587
RNF152	1
ANKRD66	0
CTNND2	2
TSC22D4	1885
LINC01489	0
FXYD3	0
RERG-AS1	0
SLC39A8	1423
ETS1	1169
CLK1	487
ABCD2	147
TADA3	2023
REXO5	438
PLA2R1	0
IVNS1ABP	1464
POLR3G	309
SKP1P2	19
LINC02378	0
MIR3974	0
RERGL	63
RAD54L	1332
ARHGEF28	19
HLA-F	93
WDR37	358
MRPS28	1171
LINC02398	0
LINC02468	0
CLDND1	1508
MCIDAS	39
TMEM238	121
SLCO1C1	0
SCNN1B	0
CEP170B	0
CDCA4	834
CETP	1
CDKN1C	2
CDK4	2358
CD40LG	0
GUSB	3012
TTN	53
SLC13A2	0
GAS5-AS1	6
MIR642B	0
MIR676	0
MIR3926-1	0
MIR3613	1
ZNF317	355
AOC3	70
RBM39	2426
MFF-DT	7
DNAAF5	2146
CMAS	992
SLC29A1	2576
MR1	172
VWDE	2
TUBB6	1190
LOC105369691	3
PRAMEF8	0
LOC101928441	0
B4GAT1	269
UBTD1	293
VCPIP1	324
IMP4	1488
SOX5-AS1	0
ARMCX5	140
FYB1	962
MVP	129
CUL4B	825
LZIC	623
LINC01572	17
GPR39	0
CEACAM19	92
NAP1L3	0
MYT1	24
MYBPC2	1
MLLT3	350
CDK2AP2	1346
BPIFA1	0
PIM1	1138
TSSK4	16
SLC22A8	0
PXMP4	96
CHP1	1197
RAB9A	312
ZHX1	622
KCNJ9	0
TRIM25	1439
LMNTD1	0
C1QTNF4	32
MIR4302	0
RASSF8-AS1	2
SSUH2	34
PRMT1	8684
TTC8	60
SPEG	3
SETD1A	539
ARHGAP32	700
SPACA9	19
DYNC1LI2	462
ARNTL2-AS1	0
HOXC13	13
FAM110D	95
SPEF2	3
MAGIX	79
MRPL22	1032
HEYL	18
FAM114A1	10
LOC729291	5
SCHIP1	0
FOXP2	15
KLK12	0
KCTD5	521
LOC100506606	27
OVCH1-AS1	0
HCG22	0
MSH5	0
SYNE4	8
GDAP1	44
HMSD	0
PPP6C	983
PPM1L	132
SLITRK3	0
OMG	4
OGDH	2962
SUMO2	5999
KERA	0
XRRA1	41
MAN2B1	4134
LOC645485	0
RSU1	1939
DDX11-AS1	35
COQ10A	160
SYCE2	118
NIPA2	1236
ADAM28	7
SUCLA2	1001
TNFRSF10A	0
LRRC36	0
OVOS2	3
FLJ13224	2
LINC02387	0
DENND5B	2
SLC35F2	743
DENND5B-AS1	1
ETFBKMT	16
FCGBP	1
GHR	0
ANKS3	143
MIR371B	0
MIR4513	0
C1orf50	202
LINC02422	1
C16orf70	189
EI24	3005
SPP1	12
CD63	3391
ZNF823	0
F13A1	5
TLE2	3
GMEB2	305
TPD52L2	1228
PTPRZ1	0
SH3GL2	0
TUBA1B	40983
SFTPD	0
ACAT1	2721
MGAT4A	328
WBP4	382
PRMT3	607
CT47A1	0
LINC02471	0
PPP3CC	126
KRT34	0
PLXNA4	4
SPTBN4	28
PDGFD	20
TRIB1	37
MED28	1719
CLIC6	0
SSB	4215
EMP3	1955
FOXJ2	207
DEFB105A	0
SPINK5	3
SPATA16	2
LINC02400	0
ANGPTL4	5
IRF2BP1	1156
GNPTAB	1357
MIR7851	2
ASH1L	194
MRPS18B	0
CC2D1B	490
FBN3	0
FXYD6	0
RYK	778
CCP110	540
EIF4E3	389
LINC02402	0
LINC02451	0
LINC02450	0
LINC02461	7
CD68	79
PRR20G	2
PTGIS	0
GAS2L2	5
VASP	2465
CDH16	0
USP1	2330
FSCN1	13
CCL18	0
CCL17	0
SNCG	97
CCL11	0
CCL4	2
SNAPC2	594
GAS8-AS1	0
FOXD3-AS1	3
P2RX4	284
TMEM117	50
HRH1	41
CTNNB1	4503
NWD2	3
ZNF814	228
PSMG4	647
IST1	1137
NOSIP	1817
PLEKHA8P1	270
PNLIP	0
DPY30	1201
LINC00938	1277
DMXL2	797
MEOX2	0
TNFRSF4	0
REG1B	0
CISD1	612
PRR13	2453
LOC100288798	71
SOX4	3064
PCED1B	20
MIR4698	0
DDX49	1933
LOC105369747	0
MIR4494	0
LINC02156	0
STIMATE	431
HPRT1	2478
PHYHIP	0
SHISAL1	1
KIF4B	20
USP20	622
ZNF407	155
C8B	0
CPB2	8
SLC36A1	92
HPCA	14
HOXA4	24
CALHM4	0
DSN1	623
SRSF4	3055
CD40	134
CHRNA4	0
VPS4B	979
PDE5A	23
H6PD	718
MARCHF8	143
KIF5B	2203
P2RX2	6
MID2	0
C9orf131	2
CNTN1	0
SUGP1	569
NACAD	2
SCNM1	9
LRRD1	2
DMC1	49
TEX264	1669
TSFM	728
AKAIN1	0
ECHDC1	2565
BEX1	491
TPM4	1768
KIF21A	0
GPS2	767
CECR2	1
NEBL	0
ZNF385C	4
ADAMDEC1	0
BUD13	677
FLVCR2	35
IRF4	2
RASSF8	21
MIR6505	0
SLC37A2	94
FUT2	9
MFSD1	2828
TMEM272	0
SNORA2C	0
MIR1291	0
SNORA2A	0
SNORA2B	1
MIR4701	0
LOC100996349	0
UBR7	1216
GHRLOS	9
NOX5	0
OBI1-AS1	1
MIR675	0
MIR16-2	0
MIR29B2	0
MIR29B1	0
FKBP11	109
DDN-AS1	9
CNTN2	0
SLC2A6	227
MYOCD	1
RANGRF	97
DNAJC13	545
IFNGR2	543
MAGEB2	3
MAGEB1	0
MAD2L1	2095
M6PR	1848
EPCAM	0
EOMES	3
RABGAP1	317
LOC101927267	1
NME4	1311
AXL	1
SPATS2	459
LOC100335030	5
NUTM2D	12
TPST2	445
NAT9	675
SLC25A37	769
BASP1	980
PCGF3	779
TAF4	314
BBS4	199
IRX5	348
HLA-DMA	0
CDH26	6
OOEP	2
BCDIN3D-AS1	1
BRD3OS	244
LINC02396	0
LINC02395	0
SULT1A3	0
ENOPH1	1121
TBX4	0
VCL	916
AKR1A1	5570
WWC1	0
PLSCR3	0
ASB9	120
CNDP2	2907
ACSS3	8
CAPN9	0
UGT2A1	10
CBX1	944
SEPTIN7	3256
MIR1293	0
DHRS7C	0
MYL2	2
FAM117B	138
N6AMT1	219
CDRT15	0
PDHA1	4946
HPSE	63
SPRR1A	0
USP21	289
TPD52	0
NPIPA8	4
CSAG3	0
SET	13376
ATPAF1	32
SOX8	0
CABP4	0
WDR89	327
RSAD2	32
TMEM41A	748
TBX1	4
SNORD133	0
PLAGL2	541
ARPC1B	8140
GPKOW	679
CCDC190	0
TMEM52	3
SLC9C2	12
CCDC60	1
DSTN	943
WDR27	325
UNC93A	0
FGFR1OP	581
ARAF	1378
NXNL1	1
RAB3C	112
TLR4	229
BMPER	0
CCDC163	28
CENPC	281
ANKRD30BL	0
PTX3	20
FAAP24	234
ZNF439	0
TICRR	642
LLGL2	45
IGFBP2	5591
TMPRSS11A	0
CCDC196	0
MAGEA8	0
MAB21L4	1
LIMA1	205
TMEM213	0
RAB43	7
TYW5	133
FIGNL2-DT	0
DHX33-DT	0
MIR1180	0
MIR1296	0
MIR452	0
MIR451A	0
MIR431	0
PAX8-AS1	4
PRAMEF14	0
NPIPA1	0
GRASP-AS1	1
FAM228B	110
URGCP-MRPS24	0
OR7E47P	0
LINC00592	2
CPVL	461
SNX10	1597
KRT7-AS	0
KRT87P	0
AWAT1	0
DNPH1	2060
MTHFS	85
UBE2E1	2889
RADIL	76
C15orf48	1
DUSP1	350
DSP	1
MMGT1	650
KRT73-AS1	0
ZNF687	325
MAK	35
CCDC86	1340
CRYGS	12
ZNF426	4
MYPN	0
KCNE3	302
GNPDA1	252
ACOT8	259
MED6	442
MAU2	598
TSPYL2	283
KIF13A	71
SLC20A2	408
LOC283335	11
CES5A	0
ANKRD22	46
SLC22A11	0
ASAP1	292
MIR6757	0
ITPKC	121
GRIP1	50
FGB	0
MIR494	0
MIR492	0
MIR202	0
PDHX	597
RBM42	3458
MFSD5	223
MCAM	2
VCX2	0
UBR5	1339
CDR2	345
PNRC1	817
SERINC3	775
PDIA5	650
AMIGO2	12
RMDN2	3
EXOC1	268
KCNU1	0
TIMP1	3277
TESPA1	60
PRKCQ	165
HMG20A	850
ATF7-NPFF	0
QSOX1	2230
LOC100652999	0
CISTR	0
HOXC13-AS	0
OTUB1	2405
HOXC-AS2	0
HOXC-AS1	3
FLJ12825	11
LOC100240735	0
LOC100240734	0
LINC02381	1
ZNF570	1
MC2R	0
SNRPD1	3364
CYTH1	415
RXRA	1292
ZPR1	1188
SLC22A3	0
MIR3198-2	0
SCAT2	17
LOC110117498-PIK3R3	0
LOC102724050	6
HLA-DMB	0
ENTPD4	243
C16orf95	282
TFCP2	573
PLPPR4	1
PPT1	3026
WDFY4	973
PRPF38A	1973
IRF8	545
ANKRD20A1	0
DEAF1	1277
GATA2	15
TMEM147	2141
GLYCAM1	0
RASAL1	0
PRAMEF10	0
CAV1	397
HTR3D	0
CPT1B	9
DNAJB6	1193
RET	0
HPF1	671
BLOC1S1-RDH5	0
MIR124-2HG	0
LYST	891
PCDHGB2	9
MVB12B	478
SARNP	1470
ESAM	26
LACTBL1	0
TMEM198B	96
SLC8A1	84
LOC389199	0
PYM1	552
CSNK2A1	3639
CCND3	3544
TRAPPC2L	636
CCNL2	2074
VAX2	0
LPIN1	741
RPL15	20970
SENP7	207
GHRL	10
COPS4	713
UXS1	474
NBPF19	2
ALOX12	30
MKLN1	517
LOC105369781	0
TH	0
BICDL1	265
CDKN3	1022
NFYC	624
LYRM4	519
NRBP1	1004
COP1	436
RMND5B	789
HCK	951
HROB	241
FBXW12	8
OASL	6
FAM189A2	0
GPR107	595
OTP	3
PCDH11X	0
DCST2	11
CXCR5	0
FKBP3	1279
SSX5	0
SNORA105C	1
CDC14A	166
SNORD59B	1
SNORD59A	2
A1CF	0
ACADL	2
ABCA2	317
